defb 19,1,1,1,1,1,1,1,13,1,1,1,1,1,1,1,1,1,1,1,1,1,1,13,1,1,1,1,1,1,1,20
defb 0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
defb 0,9,9,9,9,9,9,0,2,9,9,9,9,9,9,9,9,9,9,9,9,9,0,2,9,9,9,9,9,9,9,0
defb 3,1,1,1,1,20,9,0,22,9,0,19,1,1,1,13,13,1,1,1,1,20,0,22,9,0,19,1,1,1,1,4
defb 2,0,0,0,0,0,9,0,0,9,0,0,0,0,0,2,2,0,0,0,0,0,0,0,9,0,0,0,0,0,0,2
defb 2,9,9,9,9,9,9,9,9,9,9,9,9,9,0,2,2,9,9,9,9,9,9,9,9,9,9,9,9,9,0,2
defb 2,9,0,3,1,1,1,1,20,9,0,21,21,9,0,2,2,9,0,21,21,9,0,19,1,1,1,1,4,9,0,2
defb 2,9,0,2,0,0,0,0,0,9,0,2,2,9,0,2,2,9,0,2,2,9,0,0,0,0,0,0,2,9,0,2
defb 2,9,0,2,9,9,9,9,9,9,0,2,2,9,0,5,6,9,0,2,2,9,9,9,9,9,9,0,2,9,0,2
defb 2,9,0,22,9,0,19,1,4,9,0,2,2,9,0,0,0,9,0,2,2,9,0,3,1,20,9,0,22,9,0,2
defb 2,9,0,0,0,0,0,0,2,9,0,2,2,9,9,9,9,9,0,2,2,9,0,2,0,0,9,0,0,9,0,2
defb 2,9,9,9,9,9,9,0,2,9,0,5,10,1,1,1,1,1,1,10,6,9,0,2,9,9,9,9,9,9,0,2
defb 24,1,1,1,1,20,9,0,2,9,0,0,0,0,0,0,0,0,0,0,0,9,0,2,9,0,19,1,1,1,1,23
defb 2,0,0,0,0,0,9,0,2,9,9,9,9,9,9,9,9,9,9,9,9,9,0,2,9,0,0,0,0,0,0,2
defb 2,9,9,9,9,9,9,0,2,9,0,3,1,1,20,25,25,19,1,1,4,9,0,2,9,9,9,9,9,9,0,2
defb 2,9,0,19,1,4,9,0,2,9,0,2,0,0,0,0,0,0,0,0,2,9,0,2,9,0,3,1,20,9,0,2
defb 2,9,0,0,0,2,9,0,2,9,0,2,0,0,0,0,0,0,0,0,2,9,0,2,9,0,2,0,0,9,0,2
defb 2,9,9,9,0,2,9,0,22,9,0,5,1,1,1,1,1,1,1,1,6,9,0,22,9,0,2,9,9,9,0,2
defb 24,1,4,9,0,2,9,0,0,9,0,0,0,0,0,0,0,0,0,0,0,9,0,0,9,0,2,9,0,3,1,23
defb 22,0,2,9,0,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,0,2,9,0,2,0,22
defb 0,0,2,9,0,22,9,0,19,1,1,20,9,0,19,1,1,20,9,0,19,1,1,20,9,0,22,9,0,2,0,0
defb 0,0,2,9,0,0,9,0,0,0,0,0,9,0,0,0,0,0,9,0,0,0,0,0,9,0,0,9,0,2,0,0
defb 21,0,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2,0,21
defb 5,1,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10,1,6



https://duckduckgo.com/?q=ms+pacman&iar=images&iai=https%3A%2F%2Fwallpapercave.com%2Fwp%2Fwp4163244.jpg
